instr,freq,cycle,mean,stddev,min,max
addi,327,364,1.1131498470948011,1.787497743338104,1,33
andi,132,132,1.0,0.0,1,1
auipc,190,227,1.194736842105263,2.4685332709314034,1,35
bge,19,46,2.4210526315789473,0.9902572485382515,2,5
bltu,134,285,2.126865671641791,0.5654431862541677,2,5
c.add,135,135,1.0,0.0,1,1
c.addi,3,3,1.0,0.0,1,1
c.addi16sp,7,40,5.714285714285714,11.547594501692124,1,34
c.addi4spn,6,6,1.0,0.0,1,1
c.addiw,19,19,1.0,0.0,1,1
c.andi,2,2,1.0,0.0,1,1
c.bnez,3,40,13.333333333333334,17.441967269268172,1,38
c.j,4,76,19.0,16.537835408541227,2,37
c.ldsp,5,5,1.0,0.0,1,1
c.li,23,23,1.0,0.0,1,1
c.lw,5,10,2.0,0.0,2,2
c.mv,15,26,1.7333333333333334,2.7438820836342233,1,12
c.nop,2,2,1.0,0.0,1,1
c.or,3,3,1.0,0.0,1,1
c.sdsp,9,37,4.111111111111111,8.799551054765924,1,29
c.srli,1,1,1.0,0.0,1,1
c.sw,5,5,1.0,0.0,1,1
fadd.s,36,173,4.805555555555555,4.7657309363858005,4,33
fdiv.s,18,18,1.0,0.0,1,1
flw,126,342,2.7142857142857144,1.484614977916181,1,4
fmul.s,18,72,4.0,0.0,4,4
fsw,54,54,1.0,0.0,1,1
jal,5,143,28.6,13.821722034536798,1,36
ld,547,1006,1.8391224862888482,1.5615599351502898,1,36
lw,172,432,2.511627906976744,1.5382275064329016,1,7
mv,3,3,1.0,0.0,1,1
ret,4,13,3.25,1.479019945774904,1,5
sb,132,217,1.643939393939394,4.392025445222106,1,35
sd,142,207,1.4577464788732395,3.2923796767273115,1,33
sext.w,19,19,1.0,0.0,1,1
slli,1,1,1.0,0.0,1,1
sub,2,2,1.0,0.0,1,1
sw,24,58,2.4166666666666665,6.794094658026353,1,35
