instr,freq,cycle,mean,stddev,min,max
addi,1357,1359,1.0014738393515106,0.054272520676557016,1,3
andi,132,132,1.0,0.0,1,1
auipc,805,805,1.0,0.0,1,1
bge,101,222,2.198019801980198,0.7314681016738168,2,5
bltu,134,285,2.126865671641791,0.5654431862541677,2,5
c.add,135,135,1.0,0.0,1,1
c.addi,5,10,2.0,2.0,1,6
c.addi16sp,9,42,4.666666666666667,10.370899457402697,1,34
c.addi4spn,8,8,1.0,0.0,1,1
c.addiw,303,336,1.108910891089109,1.8926694967010929,1,34
c.andi,2,2,1.0,0.0,1,1
c.bnez,3,40,13.333333333333334,17.441967269268172,1,38
c.j,4,78,19.5,17.00735135169495,2,37
c.ldsp,7,23,3.2857142857142856,5.598833697790122,1,17
c.li,4,13,3.25,3.897114317029974,1,10
c.lw,9,135,15.0,15.77621275493231,2,44
c.mv,16,16,1.0,0.0,1,1
c.nop,4,4,1.0,0.0,1,1
c.or,3,3,1.0,0.0,1,1
c.sdsp,12,28,2.3333333333333335,4.422166387140533,1,17
c.srli,1,1,1.0,0.0,1,1
c.sw,9,41,4.555555555555555,6.651835354264785,1,17
ebreak,1,5,5.0,0.0,5,5
fadd.s,200,800,4.0,0.0,4,4
fdiv.s,100,400,4.0,0.0,4,4
flw,1001,3101,3.097902097902098,1.3756864036997205,1,4
fmul.s,400,400,1.0,0.0,1,1
fsub.s,100,118,1.18,1.7909773867919159,1,19
fsw,201,201,1.0,0.0,1,1
jal,7,183,26.142857142857142,15.587802662233528,1,36
ld,547,1026,1.8756855575868372,1.783299848834106,1,36
li,1,36,36.0,0.0,36,36
lw,437,1170,2.677345537757437,1.8548629393096012,1,6
mv,3,3,1.0,0.0,1,1
ret,6,51,8.5,11.470977871713176,1,34
sb,132,200,1.5151515151515151,3.587615162305001,1,35
sd,142,175,1.232394366197183,1.9452560313680805,1,18
slli,1,1,1.0,0.0,1,1
sub,2,36,18.0,17.0,1,35
sw,107,141,1.3177570093457944,3.27150864293045,1,35
