instr,freq,cycle,mean,stddev,min,max
addi,1159,1201,1.0362381363244175,0.8331349769375304,1,22
andi,132,132,1.0,0.0,1,1
auipc,806,806,1.0,0.0,1,1
bge,101,120,1.188118811881188,0.7540369411746441,1,5
bltu,134,282,2.1044776119402986,0.5500156947071128,1,5
c.add,135,135,1.0,0.0,1,1
c.addi,5,10,2.0,2.0,1,6
c.addi16sp,9,42,4.666666666666667,10.370899457402697,1,34
c.addi4spn,8,8,1.0,0.0,1,1
c.addiw,303,303,1.0,0.0,1,1
c.andi,2,2,1.0,0.0,1,1
c.bnez,3,14,4.666666666666667,5.185449728701348,1,12
c.j,4,75,18.75,16.253845698787718,2,35
c.ldsp,7,23,3.2857142857142856,5.598833697790122,1,17
c.li,4,13,3.25,3.897114317029974,1,10
c.lw,10,108,10.8,14.647866738880445,2,44
c.mv,16,16,1.0,0.0,1,1
c.nop,4,4,1.0,0.0,1,1
c.or,3,3,1.0,0.0,1,1
c.sdsp,12,28,2.3333333333333335,4.422166387140533,1,17
c.srli,1,1,1.0,0.0,1,1
c.sw,10,42,4.2,6.400000000000001,1,17
ebreak,1,5,5.0,0.0,5,5
fadd.s,200,800,4.0,0.0,4,4
fdiv.s,100,400,4.0,0.0,4,4
flw,701,1601,2.283880171184023,1.4843490895313518,1,4
fmul.s,100,400,4.0,0.0,4,4
fsw,301,301,1.0,0.0,1,1
jal,7,205,29.285714285714285,12.267428252016288,1,36
ld,547,1042,1.9049360146252285,1.9867277501276008,1,36
li,1,36,36.0,0.0,36,36
lw,437,1304,2.9839816933638446,2.7350123606552814,1,35
mv,3,3,1.0,0.0,1,1
ret,6,51,8.5,11.470977871713176,1,34
sb,132,200,1.5151515151515151,3.587615162305001,1,35
sd,142,175,1.232394366197183,1.9452560313680805,1,18
slli,1,1,1.0,0.0,1,1
sub,2,36,18.0,17.0,1,35
sw,107,141,1.3177570093457944,3.27150864293045,1,35
