instr,freq,cycle,mean,stddev,min,max
addi,15802,15839,1.0023414757625617,0.25764029094129176,1,33
andi,132,132,1.0,0.0,1,1
auipc,10502,10539,1.003523138449819,0.3330447998178515,1,35
blt,5149,10795,2.0965235968149156,0.49252082882372217,1,5
bltu,134,153,1.1417910447761195,0.6596356420163421,1,5
c.add,135,135,1.0,0.0,1,1
c.addi,5,5,1.0,0.0,1,1
c.addi16sp,10109,10109,1.0,0.0,1,1
c.addi4spn,5058,5092,1.0067220245156188,0.478020551773092,1,35
c.addiw,15148,15151,1.0001980459466597,0.02437413829824322,1,4
c.andi,2,2,1.0,0.0,1,1
c.bnez,3,45,15.0,17.048949136725895,1,39
c.j,103,204,1.9805825242718447,5.346227383256437,1,37
c.ldsp,5058,5058,1.0,0.0,1,1
c.li,202,202,1.0,0.0,1,1
c.lw,107,230,2.149532710280374,1.5395334790260928,2,18
c.mv,16,30,1.875,3.3888604279314896,1,15
c.nop,4,4,1.0,0.0,1,1
c.or,3,3,1.0,0.0,1,1
c.sdsp,5063,5079,1.0031601817104483,0.2248397665421545,1,17
c.srli,1,1,1.0,0.0,1,1
c.sw,107,123,1.1495327102803738,1.5395334790260928,1,17
ebreak,1,5,5.0,0.0,5,5
fadd.s,4950,19800,4.0,0.0,4,4
fdiv.s,101,404,4.0,0.0,4,4
flw,20401,141959,6.958433410126955,3.0299774376992326,1,32
fmul.s,100,100,1.0,0.0,1,1
fsgnj.s,15150,15447,1.0196039603960396,0.24171794704760613,1,4
fsqrt.s,5050,50494,9.99881188118812,0.08442334537896487,4,10
fsw,15250,15254,1.0002622950819673,0.03238999118800172,1,5
jal,5057,5219,1.0320348032430295,0.9800068163386043,1,36
ld,547,1014,1.853747714808044,1.295682478245585,1,23
li,1,1,1.0,0.0,1,1
lw,15383,46500,3.0228173958265616,2.182753922148831,1,8
mv,3,3,1.0,0.0,1,1
ret,5056,5774,1.142009493670886,0.7014955181148248,1,8
sb,132,180,1.3636363636363635,2.384523099746182,1,17
sd,142,192,1.352112676056338,3.1336366469633066,1,35
sext.w,100,100,1.0,0.0,1,1
slli,1,1,1.0,0.0,1,1
sub,2,2,1.0,0.0,1,1
sw,5155,5215,1.0116391852570321,0.5921080800370125,1,33
