instr,freq,cycle,mean,stddev,min,max
addi,1161,3443,2.9655469422911285,6.406460850999819,1,35
andi,132,132,1.0,0.0,1,1
auipc,1007,1035,1.0278053624627608,0.8819166688387363,1,29
bge,101,207,2.0495049504950495,0.35533383059260126,2,5
bltu,134,270,2.014925373134328,0.21107665110046192,1,4
c.add,135,135,1.0,0.0,1,1
c.addi,5,10,2.0,2.0,1,6
c.addi16sp,9,42,4.666666666666667,10.370899457402697,1,34
c.addi4spn,8,8,1.0,0.0,1,1
c.addiw,303,303,1.0,0.0,1,1
c.andi,2,2,1.0,0.0,1,1
c.bnez,3,17,5.666666666666667,4.642796092394707,1,12
c.j,4,62,15.5,13.793114224133722,2,35
c.ldsp,7,23,3.2857142857142856,5.598833697790122,1,17
c.li,4,13,3.25,3.897114317029974,1,10
c.lw,11,125,11.363636363636363,15.56378504601878,2,44
c.mv,16,16,1.0,0.0,1,1
c.nop,4,4,1.0,0.0,1,1
c.or,3,3,1.0,0.0,1,1
c.sdsp,12,28,2.3333333333333335,4.422166387140533,1,17
c.srli,1,1,1.0,0.0,1,1
c.sw,11,44,4.0,9.486832980505138,1,34
ebreak,1,5,5.0,0.0,5,5
fadd.s,100,400,4.0,0.0,4,4
fdiv.s,100,400,4.0,0.0,4,4
flw,601,1801,2.9966722129783694,1.4153857116896331,1,4
fsw,401,401,1.0,0.0,1,1
jal,7,217,31.0,12.24744871391589,1,36
ld,547,1034,1.8903107861060329,1.864426259787036,1,36
li,1,36,36.0,0.0,36,36
lw,437,1170,2.677345537757437,1.8548629393096012,1,6
mv,3,3,1.0,0.0,1,1
ret,6,48,8.0,11.718930554164631,1,34
sb,132,200,1.5151515151515151,3.587615162305001,1,35
sd,142,186,1.3098591549295775,2.1433917395513005,1,18
slli,1,1,1.0,0.0,1,1
sub,2,36,18.0,17.0,1,35
sw,107,141,1.3177570093457944,3.27150864293045,1,35
