instr,freq,cycle,mean,stddev,min,max
addi,2569,3411,1.3277539898793305,0.8980821962314233,1,23
andi,132,132,1.0,0.0,1,1
auipc,908,926,1.0198237885462555,0.5970219520589441,1,19
bge,101,216,2.1386138613861387,0.6138613861386135,2,5
bltu,134,279,2.082089552238806,0.4413092370738064,2,5
c.add,135,135,1.0,0.0,1,1
c.addi,5,10,2.0,2.0,1,6
c.addi16sp,9,42,4.666666666666667,10.370899457402697,1,34
c.addi4spn,8,8,1.0,0.0,1,1
c.addiw,303,303,1.0,0.0,1,1
c.andi,2,2,1.0,0.0,1,1
c.bnez,3,43,14.333333333333334,16.779617264870957,1,38
c.j,4,43,10.75,15.171931320698759,1,37
c.ldsp,7,7,1.0,0.0,1,1
c.li,4,39,9.75,15.155444566227676,1,36
c.lw,12,157,13.083333333333334,15.955450131189934,2,44
c.mv,16,16,1.0,0.0,1,1
c.nop,4,4,1.0,0.0,1,1
c.or,3,3,1.0,0.0,1,1
c.sdsp,12,28,2.3333333333333335,4.422166387140533,1,17
c.srli,1,1,1.0,0.0,1,1
c.sw,12,12,1.0,0.0,1,1
ebreak,1,5,5.0,0.0,5,5
fadd.s,300,1200,4.0,0.0,4,4
fdiv.s,100,100,1.0,0.0,1,1
flw,1704,4859,2.851525821596244,3.0737641160119202,1,35
fmul.s,600,900,1.5,1.118033988749895,1,4
fsw,704,704,1.0,0.0,1,1
jal,7,217,31.0,12.24744871391589,1,36
ld,547,1006,1.8391224862888482,1.5615599351502898,1,36
li,1,36,36.0,0.0,36,36
lw,437,1175,2.688787185354691,1.8598953350194438,1,6
mv,3,3,1.0,0.0,1,1
ret,6,51,8.5,11.470977871713176,1,34
sb,132,200,1.5151515151515151,3.587615162305001,1,35
sd,142,207,1.4577464788732395,3.2923796767273115,1,33
slli,1,1,1.0,0.0,1,1
sub,2,36,18.0,17.0,1,35
sw,107,141,1.3177570093457944,3.27150864293045,1,35
