instr,freq,cycle,mean,stddev,min,max
addi,857,859,1.0023337222870479,0.06827882771681584,1,3
andi,132,132,1.0,0.0,1,1
auipc,505,520,1.0297029702970297,0.6668300293260492,1,16
bge,101,118,1.1683168316831682,0.7045721534517703,1,5
bltu,134,275,2.0522388059701493,0.4109901436720707,1,5
c.add,135,135,1.0,0.0,1,1
c.addi,5,10,2.0,2.0,1,6
c.addi16sp,9,9,1.0,0.0,1,1
c.addi4spn,8,8,1.0,0.0,1,1
c.addiw,303,336,1.108910891089109,1.8926694967010929,1,34
c.andi,2,2,1.0,0.0,1,1
c.bnez,3,17,5.666666666666667,4.642796092394707,1,12
c.j,4,109,27.25,14.600941750448838,2,37
c.ldsp,7,7,1.0,0.0,1,1
c.li,4,4,1.0,0.0,1,1
c.lw,9,90,10.0,15.231546211727817,2,44
c.mv,16,48,3.0,7.745966692414834,1,33
c.nop,4,4,1.0,0.0,1,1
c.or,3,17,5.666666666666667,6.599663291074443,1,15
c.sdsp,12,44,3.6666666666666665,8.844332774281066,1,33
c.srli,1,35,35.0,0.0,35,35
c.sw,9,26,2.888888888888889,5.342584568965025,1,18
ebreak,1,51,51.0,0.0,51,51
fadd.s,100,100,1.0,0.0,1,1
fdiv.s,200,500,2.5,1.5,1,4
flw,501,1701,3.395209580838323,1.2035779186971125,1,4
fsw,201,218,1.0845771144278606,1.1961010229026174,1,18
jal,7,203,29.0,12.13024555163073,1,36
ld,547,1021,1.86654478976234,1.3810269406132325,1,21
li,1,1,1.0,0.0,1,1
lw,437,1270,2.9061784897025174,2.266638615538514,1,7
mv,3,3,1.0,0.0,1,1
ret,6,45,7.5,11.926860441876563,1,34
sb,132,183,1.3863636363636365,2.5335557934803186,1,18
sd,142,191,1.3450704225352113,3.0211595914037397,1,33
slli,1,1,1.0,0.0,1,1
sub,2,2,1.0,0.0,1,1
sw,107,141,1.3177570093457944,3.27150864293045,1,35
