instr,freq,cycle,mean,stddev,min,max
addi,1259,1295,1.0285941223193011,0.9594522081848115,1,35
andi,132,132,1.0,0.0,1,1
auipc,806,806,1.0,0.0,1,1
bge,101,219,2.1683168316831685,0.6758830956782579,2,5
bltu,134,278,2.074626865671642,0.43412058424623834,2,5
c.add,135,135,1.0,0.0,1,1
c.addi,5,10,2.0,2.0,1,6
c.addi16sp,9,9,1.0,0.0,1,1
c.addi4spn,8,8,1.0,0.0,1,1
c.addiw,303,303,1.0,0.0,1,1
c.andi,2,2,1.0,0.0,1,1
c.bnez,3,17,5.666666666666667,4.642796092394707,1,12
c.j,4,92,23.0,14.849242404917497,2,37
c.ldsp,7,7,1.0,0.0,1,1
c.li,4,4,1.0,0.0,1,1
c.lw,10,126,12.6,16.42071862008481,2,44
c.mv,16,48,3.0,7.745966692414834,1,33
c.nop,4,4,1.0,0.0,1,1
c.or,3,17,5.666666666666667,6.599663291074443,1,15
c.sdsp,12,44,3.6666666666666665,8.844332774281066,1,33
c.srli,1,35,35.0,0.0,35,35
c.sw,10,10,1.0,0.0,1,1
ebreak,1,51,51.0,0.0,51,51
fadd.s,300,900,3.0,1.4142135623730951,1,4
fdiv.s,100,400,4.0,0.0,4,4
flw,801,2035,2.540574282147316,1.8879112555022155,1,35
fmul.s,100,400,4.0,0.0,4,4
fsw,301,317,1.053156146179402,0.9206914591728251,1,17
jal,7,203,29.0,12.13024555163073,1,36
ld,547,1021,1.86654478976234,1.3810269406132325,1,21
li,1,1,1.0,0.0,1,1
lw,437,1170,2.677345537757437,1.8548629393096012,1,6
mv,3,3,1.0,0.0,1,1
ret,6,45,7.5,11.926860441876563,1,34
sb,132,183,1.3863636363636365,2.5335557934803186,1,18
sd,142,191,1.3450704225352113,3.0211595914037397,1,33
slli,1,1,1.0,0.0,1,1
sub,2,2,1.0,0.0,1,1
sw,107,158,1.4766355140186915,3.6438292336458917,1,35
