instr,freq,cycle,mean,stddev,min,max
addi,3172,3317,1.0457124842370744,1.117663367402186,1,35
addiw,4,4,1.0,0.0,1,1
andi,132,132,1.0,0.0,1,1
auipc,2013,2050,1.0183805265772479,0.760526368991743,1,35
bge,203,491,2.41871921182266,3.527100476092032,2,38
bltu,135,148,1.0962962962962963,0.5560985001221764,1,5
bne,1,5,5.0,0.0,5,5
bnez,1,4,4.0,0.0,4,4
c.add,140,140,1.0,0.0,1,1
c.addi,8,8,1.0,0.0,1,1
c.addi16sp,12,12,1.0,0.0,1,1
c.addi4spn,12,46,3.8333333333333335,9.397103572673634,1,35
c.addiw,403,403,1.0,0.0,1,1
c.andi,2,2,1.0,0.0,1,1
c.beqz,1,4,4.0,0.0,4,4
c.bnez,3,23,7.666666666666667,4.988876515698588,1,13
c.j,6,101,16.833333333333332,15.635607510494186,1,37
c.jr,1,38,38.0,0.0,38,38
c.ld,3,5,1.6666666666666667,0.4714045207910317,1,2
c.ldsp,9,9,1.0,0.0,1,1
c.li,8,11,1.375,0.9921567416492215,1,4
c.lw,10,36,3.6,4.800000000000001,2,18
c.mv,23,42,1.826086956521739,2.9876873987146926,1,15
c.nop,4,4,1.0,0.0,1,1
c.or,3,3,1.0,0.0,1,1
c.sd,7,41,6.833333333333333,13.043729868748773,1,36
c.sdsp,21,69,3.2857142857142856,7.465111597053494,1,33
c.slli,4,4,1.0,0.0,1,1
c.srli,2,2,1.0,0.0,1,1
c.sw,13,29,2.230769230769231,4.263509680169545,1,17
fadd.s,800,2600,3.25,1.299038105676658,1,4
fdiv.s,200,800,4.0,0.0,4,4
fence.i,1,58,58.0,0.0,58,58
flw,2600,6813,2.6203846153846153,1.5117895172207996,1,14
fmul.s,800,2018,2.5225,1.608413426330432,1,19
fsw,800,800,1.0,0.0,1,1
jal,10,291,29.1,11.700000000000001,1,36
lbu,2,22,11.0,8.0,3,19
ld,558,1091,1.9551971326164874,1.9138618693744704,1,23
li,6,19,3.1666666666666665,4.844813951249545,1,14
lui,3,3,1.0,0.0,1,1
lw,742,1482,1.9973045822102427,0.05184739639264512,1,2
mv,3,3,1.0,0.0,1,1
ori,1,1,1.0,0.0,1,1
ret,7,37,5.285714285714286,6.963461489687966,1,22
sb,133,181,1.3609022556390977,2.375749492707549,1,17
sd,162,339,2.0925925925925926,5.88973322621615,1,43
sext.w,206,206,1.0,0.0,1,1
slli,3,36,12.0,15.556349186104045,1,34
slliw,201,201,1.0,0.0,1,1
sub,2,2,1.0,0.0,1,1
sw,213,241,1.1314553990610328,1.914019501407085,1,29
