instr,freq,cycle,mean,stddev,min,max
addi,15819,15910,1.0057525760161832,0.40576138089097463,1,35
addiw,4,4,1.0,0.0,1,1
andi,132,132,1.0,0.0,1,1
auipc,10510,10547,1.0035204567078972,0.3329180363753742,1,35
bge,2,71,35.5,1.5,34,37
blt,5149,10795,2.0965235968149156,0.49370238163882607,1,5
bltu,135,142,1.0518518518518518,0.4271961734902582,1,5
bne,1,5,5.0,0.0,5,5
bnez,1,1,1.0,0.0,1,1
c.add,140,140,1.0,0.0,1,1
c.addi,8,8,1.0,0.0,1,1
c.addi16sp,10112,10112,1.0,0.0,1,1
c.addi4spn,5062,5096,1.0067167127617542,0.47783168550162136,1,35
c.addiw,15149,15152,1.000198032873457,0.024373333857968874,1,4
c.andi,2,2,1.0,0.0,1,1
c.beqz,1,4,4.0,0.0,4,4
c.bnez,3,37,12.333333333333334,16.027753706895076,1,35
c.j,105,267,2.5428571428571427,6.879962031219387,1,37
c.jr,1,38,38.0,0.0,38,38
c.ld,3,5,1.6666666666666667,0.4714045207910317,1,2
c.ldsp,5060,5060,1.0,0.0,1,1
c.li,206,209,1.0145631067961165,0.20851195723217988,1,4
c.lw,108,232,2.1481481481481484,1.5324563604131256,2,18
c.mv,23,42,1.826086956521739,2.9876873987146926,1,15
c.nop,4,4,1.0,0.0,1,1
c.or,3,3,1.0,0.0,1,1
c.sd,7,41,6.833333333333333,13.043729868748773,1,36
c.sdsp,5072,5120,1.0094637223974763,0.5022712101621519,1,33
c.slli,4,4,1.0,0.0,1,1
c.srli,2,2,1.0,0.0,1,1
c.sw,111,127,1.1441441441441442,1.5117965379029217,1,17
ebreak,1,5,5.0,0.0,5,5
fadd.s,4950,19800,4.0,0.0,4,4
fdiv.s,101,404,4.0,0.0,4,4
fence.i,1,58,58.0,0.0,58,58
flw,20401,141959,6.958433410126955,3.0299774376992326,1,32
fmul.s,100,100,1.0,0.0,1,1
fsgnj.s,15150,15447,1.0196039603960396,0.24171794704760613,1,4
fsqrt.s,5050,111100,22.0,0.0,22,22
fsw,15250,15262,1.0007868852459016,0.05609743127110489,1,5
jal,5060,5325,1.0523715415019763,1.2874524851358997,1,36
lbu,2,22,11.0,8.0,3,19
ld,558,1059,1.8978494623655915,1.4902174550581284,1,23
li,6,19,3.1666666666666665,4.844813951249545,1,14
lui,3,3,1.0,0.0,1,1
lw,15388,46510,3.0224850532882765,2.182477126052478,1,8
mv,3,3,1.0,0.0,1,1
ori,1,1,1.0,0.0,1,1
ret,5057,5804,1.1477160371761914,0.7855547886241112,1,26
sb,133,181,1.3609022556390977,2.375749492707549,1,17
sd,162,339,2.0925925925925926,5.88973322621615,1,43
sext.w,105,105,1.0,0.0,1,1
slli,3,36,12.0,15.556349186104045,1,34
sub,2,2,1.0,0.0,1,1
sw,5161,5221,1.0116256539430344,0.5917639306799886,1,33
